
id,parent_id,name,latitude,longitude,created_at,updated_at
 1, 0,آذربایجان شرقی,37.9064,46.1436 ,NULL,NULL 
 2, 0,آذربایجان غربی,37.5486,45.0675 ,NULL,NULL 
 3, 0,اردبیل,38.2466,48.2956 ,NULL,NULL 
 4, 0,اصفهان,32.6546,51.6678 ,NULL,NULL 
 5, 0,البرز,35.9971,50.9294 ,NULL,NULL 
 6, 0,ایلام,33.6364,46.4044 ,NULL,NULL 
 7, 0,بوشهر,28.9234,50.8203 ,NULL,NULL 
 8, 0,تهران,35.6892,51.3889 ,NULL,NULL 
 9, 0,چهارمحال وبختیاری,31.9337,50.8362 ,NULL,NULL 
 10, 0,خراسان جنوبی,32.5672,59.2215 ,NULL,NULL 
 11, 0,خراسان رضوی,36.3022,59.6057 ,NULL,NULL 
 12, 0,خراسان شمالی,37.4748,57.3290 ,NULL,NULL 
 13, 0,خوزستان,31.4360,48.0700 ,NULL,NULL 
 14, 0,زنجان,36.6777,48.4904 ,NULL,NULL 
 15, 0,سمنان,35.5778,53.3963 ,NULL,NULL 
 16, 0,سیستان وبلوچستان,29.5013,60.8626 ,NULL,NULL 
 17, 0,فارس,29.1044,53.0456 ,NULL,NULL 
 18, 0,قزوین,36.2797,50.0041 ,NULL,NULL 
 19, 0,قم,34.6399,50.8759 ,NULL,NULL 
 20, 0,کردستان,35.3218,47.0044 ,NULL,NULL 
 21, 0,کرمان,30.2839,57.0833 ,NULL,NULL 
 22, 0,کرمانشاه,34.3142,47.0650 ,NULL,NULL 
 23, 0,کهگیلویه وبویراحمد,30.8370,50.8091 ,NULL,NULL 
 24, 0,گلستان,37.2898,54.3291 ,NULL,NULL 
 25, 0,گیلان,37.2097,49.8126 ,NULL,NULL 
 26, 0,لرستان,33.4878,48.3571 ,NULL,NULL 
 27, 0,مازندران,36.2267,52.5373 ,NULL,NULL 
 28, 0,مرکزی,34.7666,50.0065 ,NULL,NULL 
 29, 0,هرمزگان,27.1387,56.2396 ,NULL,NULL 
 30, 0,همدان,34.7992,48.5146 ,NULL,NULL 
 31, 0,یزد,32.1006,54.4342 ,NULL,NULL 
 32, 1,آذرشهر,37.9378,46.1416 ,NULL,NULL 
 33, 1,تیمورلو,38.0580,46.2888 ,NULL,NULL 
 34, 1,گوگان,37.2519,45.9951 ,NULL,NULL 
 35, 1,ممقان,37.5117,47.5213 ,NULL,NULL 
 36, 1,اسکو,37.9243,46.1215 ,NULL,NULL 
 37, 1,ایلخچی,38.0125,45.7534 ,NULL,NULL 
 38, 1,سهند,37.6942,46.2181 ,NULL,NULL 
 39, 1,اهر,37.8325,45.9621 ,NULL,NULL 
 40, 1,هوراند,37.4922,47.0557 ,NULL,NULL 
 41, 1,بستان آباد,37.4684,45.8420 ,NULL,NULL 
 42, 1,تیکمه داش,38.1938,45.9383 ,NULL,NULL 
 43, 1,بناب,37.3422,46.0561 ,NULL,NULL 
 44, 1,باسمنج,38.2032,45.9691 ,NULL,NULL 
 45, 1,تبریز,38.0796,46.3016 ,NULL,NULL 
 46, 1,خسروشاه,38.0421,45.7164 ,NULL,NULL 
 47, 1,سردرود,37.9407,45.5354 ,NULL,NULL 
 48, 1,جلفا,38.9348,45.6304 ,NULL,NULL 
 49, 1,سیه رود,38.2180,45.7146 ,NULL,NULL 
 50, 1,هادیشهر,38.2071,46.0421 ,NULL,NULL 
 51, 1,قره آغاج,39.2822,47.2949 ,NULL,NULL 
 52, 1,خمارلو,38.9500,45.9411 ,NULL,NULL 
 53, 1,دوزدوزان,38.7383,45.8933 ,NULL,NULL 
 54, 1,سراب,37.9407,46.5354 ,NULL,NULL 
 55, 1,شربیان,37.9483,45.6374 ,NULL,NULL 
 56, 1,مهربان,38.9606,45.6335 ,NULL,NULL 
 57, 1,تسوج,38.1451,45.9920 ,NULL,NULL 
 58, 1,خامنه,38.9693,45.9182 ,NULL,NULL 
 59, 1,سیس,37.9821,46.3330 ,NULL,NULL 
 60, 1,شبستر,38.1810,45.7000 ,NULL,NULL 
 61, 1,شرفخانه,37.4862,45.0803 ,NULL,NULL 
 62, 1,شندآباد,37.4763,46.1866 ,NULL,NULL 
 63, 1,صوفیان,38.4887,45.9057 ,NULL,NULL 
 64, 1,کوزه کنان,38.8006,45.9853 ,NULL,NULL 
 65, 1,وایقان,38.3433,45.6940 ,NULL,NULL 
 66, 1,جوان قلعه,37.5437,45.0472 ,NULL,NULL 
 67, 1,عجب شیر,38.4230,45.8221 ,NULL,NULL 
 68, 1,آبش احمد,38.6111,46.4131 ,NULL,NULL 
 69, 1,کلیبر,38.9564,45.6286 ,NULL,NULL 
 70, 1,خداجو خراجو),38.8000,45.9353 ,NULL,NULL 
 71, 1,مراغه,38.4293,46.2617 ,NULL,NULL 
 72, 1,بناب مرند,38.2304,45.9025 ,NULL,NULL 
 73, 1,زنوز,38.7911,45.9645 ,NULL,NULL 
 74, 1,کشکسرای,38.9781,45.8914 ,NULL,NULL 
 75, 1,مرند,38.4274,45.7686 ,NULL,NULL 
 76, 1,یامچی,37.9513,45.7612 ,NULL,NULL 
 77, 1,لیلان,38.4910,45.6089 ,NULL,NULL 
 78, 1,مبارک شهر,38.3925,44.9577 ,NULL,NULL 
 79, 1,ملکان,38.8667,45.9167 ,NULL,NULL 
